wall_clock_s,monotonic_s,cpullc-0-0_temp_mc,cpullc-0-1_temp_mc,cpu-0-2-1_temp_mc,cpu-0-3-0_temp_mc,cpu-0-3-1_temp_mc,cpu-0-4-0_temp_mc,cpu-0-4-1_temp_mc,cpu-0-5-0_temp_mc,cpu-0-5-1_temp_mc,cpullc-1-0_temp_mc,cpullc-1-1_temp_mc,qmx-1-0_temp_mc,qmx-0-0_temp_mc,qmx-1-1_temp_mc,qmx-1-2_temp_mc,qmx-1-3_temp_mc,qmx-1-4_temp_mc,cpu-1-0-0_temp_mc,cpu-1-0-1_temp_mc,cpu-1-1-0_temp_mc,cpu-1-1-1_temp_mc,nsphvx-0_temp_mc,nsphvx-1_temp_mc,qmx-0-1_temp_mc,nsphvx-2_temp_mc,nsphvx-3_temp_mc,nsphmx-0_temp_mc,nsphmx-1_temp_mc,nsphmx-2_temp_mc,nsphmx-3_temp_mc,gpuss-0_temp_mc,gpuss-1_temp_mc,gpuss-2_temp_mc,gpuss-3_temp_mc,qmx-0-2_temp_mc,gpuss-4_temp_mc,gpuss-5_temp_mc,gpuss-6_temp_mc,gpuss-7_temp_mc,gpuss-8_temp_mc,gpuss-9_temp_mc,gpuss-10_temp_mc,ddr_temp_mc,mdmss-0_temp_mc,mdmss-1_temp_mc,cpu-0-0-0_temp_mc,mdmss-2_temp_mc,mdmss-3_temp_mc,camera-0_temp_mc,camera-1_temp_mc,video_temp_mc,pmh0104_tz_temp_mc,socd_temp_mc,pmh0101-bcl-lvl0_temp_mc,pmr735d_tz_temp_mc,sys-therm-0_temp_mc,cpu-0-0-1_temp_mc,cpu-hw-trip-0_temp_mc,pmh0101-bcl-lvl1_temp_mc,shell_front_temp_mc,pm8010m_tz_temp_mc,wireless_temp_mc,sys-therm-2_temp_mc,cpu-hw-trip-1_temp_mc,shell_frame_temp_mc,pmh0101-bcl-lvl2_temp_mc,shell_back_temp_mc,cpu-0-1-0_temp_mc,sys-therm-3_temp_mc,vbat_temp_mc,sys-therm-4_temp_mc,pmih010x-ibat-lvl0_temp_mc,sys-therm-5_temp_mc,pmih010x-ibat-lvl1_temp_mc,sys-therm-6_temp_mc,sys-therm-7_temp_mc,pmih010x-bcl-lvl0_temp_mc,sys-therm-9_temp_mc,cpu-0-1-1_temp_mc,pmih010x-bcl-lvl1_temp_mc,sys-therm-12_temp_mc,pmih010x-bcl-lvl2_temp_mc,flash_temp_temp_mc,board_temp_temp_mc,svooc_mos_btb_usr_temp_mc,pmh0101_tz_temp_mc,pmh0110_d_tz_temp_mc,pmh0110_f_tz_temp_mc,pmh0110_g_tz_temp_mc,cpu-0-2-0_temp_mc,pmh0110_i_tz_temp_mc,pmih010x_tz_temp_mc,pmih010x_lite_tz_temp_mc,battery_temp_mc,usb_temp_mc,sdr0_pa_temp_mc,sdr0_temp_mc,mmw_ific0_temp_mc,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,sdb_w_completed,sdb_w_merged,sdb_sectors_w,sdb_ms_w,sdc_w_completed,sdc_w_merged,sdc_sectors_w,sdc_ms_w,sdd_w_completed,sdd_w_merged,sdd_sectors_w,sdd_ms_w,sde_w_completed,sde_w_merged,sde_sectors_w,sde_ms_w,sdf_w_completed,sdf_w_merged,sdf_sectors_w,sdf_ms_w,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,mem_total_kb,mem_free_kb,mem_avail_kb,psi_cpu_a10,psi_mem_a10,psi_io_a10,vmstat_pswpout,vmstat_pgmajfault,vmstat_pgpgout,vmstat_pswpin,probe_pid,probe_write_bytes,probe_read_bytes,cpu0_freq_hz,cpu1_freq_hz,cpu2_freq_hz,cpu3_freq_hz,cpu4_freq_hz,cpu5_freq_hz,cpu6_freq_hz,cpu7_freq_hz,cpu0_cool_state,cpu1_cool_state,cpu2_cool_state,cpu3_cool_state,cpu4_cool_state,cpu5_cool_state,cpu6_cool_state,cpu7_cool_state,gpu_busy_us,gpu_total_us,bat_current_ma,bat_voltage_mv,bat_phone_temp_dc,usb_online,usb_current_ua,usb_voltage_uv,bat_charge_uah,bat_power_now_uw,bat_current_now_ua,bat_voltage_now_uv,bat_status,gpu_clk_hz
1784645960.510557902,1268.71,35500,35100,35000,35400,35400,35400,35400,35800,35400,34900,35200,34900,35500,35200,34900,35200,35200,35200,35200,34500,35600,34500,34500,35500,34500,34500,34100,34500,34500,34500,35500,35900,35500,34700,35900,35100,35500,35100,35100,35900,35100,35500,35500,35200,34900,34600,34500,34900,34500,34900,34900,37000,0,0,37000,33490,35800,95000,0,32736,37000,32500,34768,95000,31683,0,31969,35800,32537,0,34462,0,34555,0,36014,33782,0,34420,35000,0,36573,0,33899,34246,34478,34529,34428,34027,34963,35400,34161,33693,58199,32500,3100,-273000,-273000,-273000,93439,851,2679272,100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93439,851,2679272,100265,15475008,920004,8856156,7.22,0.00,0.00,425422,124256,3097140,106216,,,,1440000,1440000,1440000,1440000,1440000,1440000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,297000,4984000,7014000,0,0,4474000,Notcharging,461000000
1784645961.238328631,1269.44,36600,36600,36200,35800,35800,36600,36600,36600,36200,35200,36000,35200,36300,35200,35200,35200,35600,35600,35200,35200,35600,34900,34900,36600,34900,34500,34500,34500,34500,34900,35900,35900,35500,34700,36300,35100,35900,35500,35500,35900,35500,35500,35900,35200,34900,36600,34500,34900,34900,35200,35200,37000,0,0,37000,33513,37400,95000,0,32736,37000,32400,34793,95000,31683,0,31969,37000,32524,0,34473,0,34568,0,35963,33785,0,34432,38500,0,36570,0,33893,34258,34480,34529,34462,33994,35097,36200,34127,33525,58166,32400,3100,-273000,-273000,-273000,93439,851,2679272,100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93439,851,2679272,100265,15475008,918344,8854236,7.22,0.00,0.00,425422,124339,3097140,106297,,,,1996800,1996800,1996800,1996800,1996800,1996800,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,494000,4940000,7014000,0,0,4474000,Notcharging,461000000
1784645961.536865662,1269.74,37000,36600,37000,36200,35800,37000,37400,36600,36200,38000,39100,37600,36300,38000,36800,36800,37200,36800,36800,39500,40700,34500,34900,36600,35200,34900,34100,34900,34500,35200,36300,35900,35500,35100,36600,35500,35900,35100,35900,36300,35500,35900,36300,35600,34900,37000,34500,34900,34900,35200,36000,37000,0,0,37000,33516,37000,95000,0,32736,37000,32400,34795,95000,31683,0,31969,36200,32540,0,34468,0,34589,0,35963,33776,0,34429,36200,0,36598,0,33887,34279,34489,34529,34629,33960,35130,37000,34361,33860,58166,32400,3100,-273000,-273000,-273000,93439,851,2679272,100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93439,851,2679272,100265,15475008,915100,8851104,7.22,0.00,0.00,425422,124343,3097140,106301,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,94000,5027000,7014000,0,0,4474000,Notcharging,461000000
1784645961.994917589,1270.20,36300,35500,36200,36200,36200,35800,36200,36600,36200,35600,36000,35600,35900,36000,35600,36000,36000,35600,35200,35600,36000,34500,34900,36300,34900,34900,34100,34900,34900,35200,35900,35900,35500,35100,35900,35500,36300,35500,35500,36300,35500,35500,35900,36000,35200,36200,34900,35200,34900,35200,35600,37000,0,0,37000,33521,36200,95000,0,32736,37000,32400,34826,95000,31683,0,31868,36200,32548,0,34501,0,34601,0,35906,33798,0,34426,36200,0,36604,0,33896,34295,34502,34462,34629,33994,35264,36200,34328,33659,58199,32400,3100,-273000,-273000,-273000,93443,851,2679304,100266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93443,851,2679304,100266,15475008,912580,8849112,7.22,0.00,0.00,425422,124370,3097156,106325,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,137000,5022000,7014000,0,0,4474000,Notcharging,461000000
1784645962.450936026,1270.65,35900,35500,36200,35400,35400,35800,35800,35800,35400,35200,35600,35600,35900,35600,35200,35600,35200,35600,35600,35200,36000,34500,35200,35900,34900,34900,34500,34900,34900,35200,35900,35500,35500,34700,36300,35100,35500,34700,35500,35900,35500,35500,35900,35600,34900,35000,34900,35200,34900,35600,35200,37000,0,0,37000,33525,36200,95000,0,32736,37000,32400,34857,95000,31683,0,31868,35400,32527,0,34498,0,34616,0,35928,33790,0,34433,35400,0,36605,0,33902,34320,34524,34529,34495,34094,35130,36200,34161,34060,58267,32400,3100,-273000,-273000,-273000,93443,851,2679304,100266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93443,851,2679304,100266,15475008,911340,8847920,7.54,0.00,0.00,425422,124370,3097156,106325,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,97000,5024000,7014000,0,0,4474000,Notcharging,461000000
1784645962.910533474,1271.11,35900,35500,35800,35400,35000,35400,35800,35800,35400,34900,35600,35600,35900,35600,35200,35600,35600,35200,35200,34900,36000,34500,34900,36300,34900,34900,34500,35200,34900,34900,35900,35900,35500,35100,35900,35100,35900,35100,35500,35900,35500,35900,36300,36000,35200,35000,34900,35200,34900,34900,35200,37000,0,0,37000,33544,35800,95000,0,32736,37000,32400,34864,95000,31683,0,31868,35800,32542,0,34498,0,34634,0,35954,33801,0,34449,35400,0,36686,0,33887,34347,34536,34696,34562,34060,35398,36200,34294,34094,58233,32400,3100,-273000,-273000,-273000,93443,851,2679304,100266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93443,851,2679304,100266,15475008,916884,8853448,7.54,0.00,0.00,425422,124371,3097156,106326,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,119000,5028000,7014000,0,0,4474000,Notcharging,461000000
1784645963.351973057,1271.55,37400,37000,37700,37000,37400,37400,38100,37700,37700,35200,35600,35600,36600,35600,35200,35200,35200,35200,35200,34900,35600,34900,34900,37400,34900,34900,34500,34500,34500,34900,35900,36300,35900,35100,36600,35500,35900,35100,35500,36300,35500,35500,35900,35600,35200,36200,34900,35200,34500,35200,34900,37000,0,0,37000,33541,37000,95000,0,32736,37000,32400,34889,95000,31683,0,31868,37000,32545,0,34516,0,34666,0,35909,33790,0,34459,38100,0,36580,0,33890,34340,34559,34495,34696,34094,35532,37700,34361,34127,58368,32400,3100,-273000,-273000,-273000,93518,851,2680992,100279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93518,851,2680992,100279,15475008,900568,8837036,7.54,0.00,0.00,425422,124534,3098000,106484,,,,1440000,1440000,1440000,1440000,1440000,1440000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,497000,4935000,7014000,0,0,4474000,Notcharging,461000000
1784645963.652572745,1271.86,37400,37800,38100,37700,37400,37700,37400,37700,37000,38400,39900,38400,38200,38400,38000,38000,38000,37600,37200,39900,40700,34900,35200,38200,35200,34900,34500,34900,34500,35200,41300,42800,41700,41700,38200,42400,41700,40500,41300,41700,40900,41300,40500,36800,35600,37000,35600,36000,35600,35600,36400,37000,0,0,37000,33553,37700,95000,0,32736,37000,32400,34921,95000,31683,0,31868,37700,32537,0,34531,0,34652,0,35948,33804,0,34472,37400,0,36592,0,33899,34343,34574,34796,34662,35164,35431,38500,34428,34027,57998,32400,3100,-273000,-273000,-273000,93518,851,2680992,100279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93518,851,2680992,100279,15475008,885708,8818508,7.54,0.00,0.00,425422,124557,3098000,106507,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,187868,1004003,0,4953,320,1,494000,4932000,7014000,0,0,4474000,Notcharging,1200000000
1784645964.100262640,1272.30,37800,38200,38900,38900,38500,38500,38100,38500,38100,37600,38000,38400,39300,38700,38400,39100,38700,38700,38400,36800,37600,36400,36400,39300,36800,36400,35600,36000,36000,36400,44000,45900,44800,44800,39700,45100,44800,43200,43600,44400,44000,44400,43600,39100,37600,37400,36800,38400,36400,36800,36400,37000,0,0,37000,33558,38100,95000,0,32736,37000,32400,35213,95000,31683,0,31868,37700,32545,0,34525,0,34703,0,35883,33846,0,34486,37700,0,36598,0,33893,34377,34601,34997,34796,36435,35532,39700,34595,33860,58166,32400,3100,-273000,-273000,-273000,93518,851,2680992,100279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93518,851,2680992,100279,15475008,883692,8816444,7.54,0.00,0.00,425422,124566,3098000,106516,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,187868,1004003,0,4953,320,1,494000,4935000,7014000,0,0,4474000,Notcharging,1200000000
1784645964.557337796,1272.76,38600,39000,39700,39700,39300,39300,38900,39700,38900,38700,38400,39900,40900,39500,39500,39900,39500,39900,39500,37200,38400,37600,37600,40100,37600,37200,36400,36800,36800,37200,44800,46700,45500,45900,40900,46700,46300,44400,45100,45100,44800,45100,44800,40300,38400,38100,37200,38700,36400,36800,37200,37000,0,0,37000,33573,38500,95000,0,32736,37000,32400,35482,95000,31683,0,31868,38900,32537,0,34525,0,34725,0,35897,33818,0,34505,38500,0,36589,0,33890,34386,34641,34997,35097,36937,35799,40500,34729,34060,58032,32400,3100,-273000,-273000,-273000,93523,851,2681072,100282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93523,851,2681072,100282,15475008,881684,8814436,7.98,0.00,0.00,425422,124570,3098040,106520,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,996777,1001943,0,4953,320,1,494000,4936000,7014000,0,0,4474000,Notcharging,1200000000
